AUTO POSTO LAGOA CAFE                                                        17/06/2026 14:52;;;
CAIXA GERAL;;;
Empresa: 1 - AUTO POSTO LAGOA CAFE;;;
Período: 16/06/2026 a 16/06/2026;;;
VENDA DE COMBUSTÍVEL;;;
Combustível;Litros;Valor;
01. ETANOL HIDRATADO ADITIVADO;747,162;3915,52;
02. GASOLINA C COMUM;3664,278;25169,75;
03. GASOLINA ORIGINAL C ADITIV;339,428;2389,42;
04. DIESELS-500 ORIGINAL ADITI;0;0;
05. DIESEL BS-10 ORIGINAL ADIT;2533,196;19210,79;
Total;7284,064;50685,48;
VENDA DE PRODUTOS;;;
Grupo;Quantidade;Valor;
AUTOMOTIVOS;1;58;
CARVAO E GELO;1;10;
LUBRIFICANTES;8;310;
Total;10;378;
FINANCEIRO;;;
Entradas;Saídas;;
VENDA DE PRODUTOS;51063,48;BR PREMMIA CARTAO;726,97
;;BR PREMMIA GENERICO;2,5
;;BR PREMMIA PIX;40
;;CARTAO FITCARD;6646,12
;;DESPESAS DO POSTO;297,81
;;NOTAS A PRAZO;8828,08
;;PAG PIX;8631,33
;;POS PAGSEGURO ELO DEBITO;636,89
;;POS PAGSEGURO MASTER.CRE;1441,25
;;POS PAGSEGURO MASTER.DEB;298,25
;;POS PAGSEGURO VISA CREDI;310
;;POS PAGSEGURO VISA DEBIT;230
;;SANGRIA;9176
;;SMART PAGSEGURO ELO CRED;260,05
;;SMART PAGSEGURO ELO DEBI;544,01
;;SMART PAGSEGURO MASTER.C;3609,66
;;SMART PAGSEGURO MASTER.D;2806,48
;;SMART PAGSEGURO VISA CRE;2423,26
;;SMART PAGSEGURO VISA DEB;4129,63
Subtotal;51063,48;Subtotal;51038,29
Diferença;-25,19;;
